season,week,date,away_team,home_team,elo_diff_pre_game,p_home,predicted_winner,model_probability,actual_home_score,actual_away_score,actual_winner,correct
2016,9,2016-11-06,DET,MIN,74.74,0.6529,MIN,0.6529,16,22,DET,0
2016,9,2016-11-06,PHI,NYG,-66.34,0.455,PHI,0.545,28,23,NYG,0
2016,9,2016-11-06,CAR,LAR,-219.78,0.2566,CAR,0.7434,10,13,CAR,1
2016,9,2016-11-06,NO,SF,-73.38,0.445,NO,0.555,23,41,NO,1
2016,9,2016-11-06,IND,GB,138.28,0.7306,GB,0.7306,26,31,IND,0
2016,9,2016-11-06,TEN,LAC,158.93,0.7533,LAC,0.7533,43,35,LAC,1
2016,9,2016-11-07,DEN,LV,-347.36,0.1421,DEN,0.8579,30,20,LV,0
2016,9,2016-11-08,BUF,SEA,178.21,0.7734,SEA,0.7734,31,25,SEA,1
2016,10,2016-11-11,CLE,BAL,252.74,0.8397,BAL,0.8397,28,7,BAL,1
2016,10,2016-11-13,KC,CAR,8.98,0.563,CAR,0.563,17,20,KC,0
2016,10,2016-11-13,HOU,JAX,-254.2,0.2207,HOU,0.7793,21,24,HOU,1
2016,10,2016-11-13,DEN,NO,-167.38,0.3182,DEN,0.6818,23,25,DEN,1
2016,10,2016-11-13,LAR,NYJ,66.93,0.6426,NYJ,0.6426,6,9,LAR,0
2016,10,2016-11-13,ATL,PHI,0.42,0.5508,PHI,0.5508,24,15,PHI,1
2016,10,2016-11-13,CHI,TB,-71.62,0.4475,CHI,0.5525,36,10,TB,0
2016,10,2016-11-13,GB,TEN,-310.33,0.1701,GB,0.8299,47,25,TEN,0
2016,10,2016-11-13,MIN,WAS,-126.36,0.3715,MIN,0.6285,26,20,WAS,0
2016,10,2016-11-13,MIA,LAC,27.82,0.5894,LAC,0.5894,24,31,MIA,0
2016,10,2016-11-13,SF,ARI,193.74,0.7886,ARI,0.7886,23,20,ARI,1
2016,10,2016-11-13,DAL,PIT,77.1,0.656,PIT,0.656,30,35,DAL,0
2016,10,2016-11-14,SEA,NE,88.89,0.6711,NE,0.6711,24,31,SEA,0
2016,10,2016-11-15,CIN,NYG,-134.47,0.3606,CIN,0.6394,21,20,NYG,0
2016,11,2016-11-18,NO,CAR,91.89,0.6749,CAR,0.6749,23,20,CAR,1
2016,11,2016-11-20,BUF,CIN,84.4,0.6654,CIN,0.6654,12,16,BUF,0
2016,11,2016-11-20,PIT,CLE,-352.06,0.1388,PIT,0.8612,9,24,PIT,1
2016,11,2016-11-20,BAL,DAL,30.33,0.5929,DAL,0.5929,27,17,DAL,1
2016,11,2016-11-20,JAX,DET,230.9,0.8221,DET,0.8221,26,19,DET,1
2016,11,2016-11-20,TEN,IND,166.29,0.7611,IND,0.7611,24,17,IND,1
2016,11,2016-11-20,TB,KC,242.09,0.8313,KC,0.8313,17,19,TB,0
2016,11,2016-11-20,ARI,MIN,-68.29,0.4522,ARI,0.5478,30,24,MIN,0
2016,11,2016-11-20,CHI,NYG,95.87,0.6799,NYG,0.6799,22,16,NYG,1
2016,11,2016-11-20,MIA,LAR,-75.27,0.4423,MIA,0.5577,10,14,MIA,1
2016,11,2016-11-20,PHI,SEA,179.87,0.775,SEA,0.775,26,15,SEA,1
2016,11,2016-11-20,NE,SF,-380.34,0.1205,NE,0.8795,17,30,NE,1
2016,11,2016-11-21,GB,WAS,-170.99,0.3137,GB,0.6863,42,24,WAS,0
2016,11,2016-11-22,HOU,LV,-159.64,0.328,HOU,0.672,27,20,LV,0
2016,12,2016-11-24,MIN,DET,-52.91,0.4743,MIN,0.5257,16,13,DET,0
2016,12,2016-11-24,WAS,DAL,130.05,0.7211,DAL,0.7211,31,26,DAL,1
2016,12,2016-11-25,PIT,IND,-125.96,0.372,PIT,0.628,7,28,PIT,1
2016,12,2016-11-27,ARI,ATL,-74.79,0.443,ARI,0.557,38,19,ATL,0
2016,12,2016-11-27,CIN,BAL,-70.52,0.4491,CIN,0.5509,19,14,BAL,0
2016,12,2016-11-27,JAX,BUF,276.24,0.8571,BUF,0.8571,28,21,BUF,1
2016,12,2016-11-27,TEN,CHI,50.63,0.6208,CHI,0.6208,21,27,TEN,0
2016,12,2016-11-27,NYG,CLE,-214.31,0.2627,NYG,0.7373,13,27,NYG,1
2016,12,2016-11-27,LAC,HOU,36.61,0.6016,HOU,0.6016,13,21,LAC,0
2016,12,2016-11-27,SF,MIA,61.74,0.6357,MIA,0.6357,31,24,MIA,1
2016,12,2016-11-27,LAR,NO,122.29,0.7121,NO,0.7121,49,21,NO,1
2016,12,2016-11-27,SEA,TB,-357.77,0.1349,SEA,0.8651,14,5,TB,0
2016,12,2016-11-27,NE,NYJ,-350.28,0.14,NE,0.86,17,22,NE,1
